"property","value";
"standardversion","https://data.gov.ru/metodicheskie-rekomendacii-po-publikacii-otkrytyh-dannyh-versiya-30";
"identifier","7708308010-openswimingpools";
"title","Бассейны плавательные открытые";
"description","Набор данных позволяет получить информацию об объектах, посмотреть их местоположение на карте, а также по каждому бассейну можно посмотреть его полное наименование, точный адрес, график работы, перечень предоставляемых услуг и осуществляемых функций. Открытый бассейн — сооружение, где основная ванна расположена на открытом воздухе. По характеру эксплуатации открытые бассейны разделяются на сезонные и круглогодичные. Плавание - один из самых полезных видов спорта, как для взрослых, так и для детей. Плавательные бассейны бывают крытые (в помещении) и открытые - на свежем воздухе. Также бывают бассейны с обычной и морской водой, которые относятся к разряду лечебных. Вода должна проходить определенную обработку (хлорирование, озонирование, УФ-обеззараживание) с целью уничтожения вирусов и микробов. Бассейны с длиной дорожки 50 м. называются олимпийскими. Хотя самые распространенные - 20-25 м. Плавание в бассейне благотворно влияет на позвоночник. Снимая нагрузку с межпозвоночных дисков, выравнивается осанка человека. Если вы начали посещать бассейн, то обязательно избавитесь от лишних калорий. Оказывается отличное воздействие на кровеносную систему, снижается артериальное давление, значительно падает риск сердечно-сосудистых заболеваний. Во время плавания легкие человека очень хорошо насыщаются кислородом. Вода естественным образом массирует ваше тело и положительно влияет на нервную систему. Если вы страдаете бессонницей, то спасение для вас - это регулярное посещение бассейна. Во всех плавательных бассейнах для посещения вам потребуется предоставить медицинскую справку с разрешением врача (дерматолога или терапевта) на посещение бассейна. В некоторых бассейнах есть врач, который уполномочен выдавать такие справки. В бассейне как правило нужны: шапочка плавательная, шлепанцы, полотенце для душа, плавки (купальник - желательно закрытый), мыло (гель для душа), мочалка. Желателен крем для лица и тела после посещения - вода бассейна сушит кожу. Босиком в помещениях плавательных бассейнов ходить нельзя. Так или иначе, в больших или меньших количествах, но хлорка в воде присутствует во всех бассейнах, т.к. этого требуют действующие нормы Санэпиднадзора. Другое дело, что количество хлора в воде может отличаться в разных бассейнах. Ранее хлорирование воды осуществлялось путем непосредственного добавления газообразного хлора в воду. Так как хлор является крайне токсичным веществом, сейчас используется более безопасный метод. Сейчас хлор добавляется в воду в химически связанном виде, чаще всего используется гипохлорит натрия в жидком виде, благодаря чему она почти не имеет специфического запаха. А знаете ли вы что? - Многие думают, что бассейн - относительно новое изобретение, но это далеко не так. Строительство первых плавательных бассейнов было зафиксировано в 3-м веке до н.э., подобные прародители современных водоемов можно было найти в доме практически любого богатого римлянина. Конструкция такого бассейна представляла собой плотно прилегающие каменные блоки, опечатанные смолой в качестве гидроизолирующего материала. В древних бассейнах не только проводились купальные процедуры, но и спортивные соревнования, а также общеукрепляющие оздоровительные занятия. Считается, что римляне - первые люди, которые пользовались бассейном с подогревом. - «Москва» — плавательный бассейн под открытым небом, существовавший с 1960 по 1994 в центре Москвы, на берегу Москвы-реки. В конце 1994 года бассейн был снесён для восстановления Храма Христа Спасителя, занимавшего то же самое место до сноса в 1931 году. Строительство было начато в 1958 по проекту архитектора Дмитрия Чечулина. Изначально на месте церкви предусматривалась постройка Дворца Советов, но стройка была приостановлена, и, после устройства фундамента, не возобновлялась. Материал подготовлен на основе информации из открытых источников http://ru.wikipedia.org/, http://data.mos.ru/, http://www.azuropool.ru/, http://www.swimmer.ru/.";
"creator","Департамент спорта города Москвы";
"created","2014-05-29";
"modified","2022-12-24";
"subject","бассейн, бассейн открытый, бассейны под открытым небом, запись в бассейн, открытые бассейны, открытый бассейн цена, открытый плавательный бассейн, список открытых бассейнов, список открытых плавательных бассейнов, спортивный открытый бассейн, стоимость посещения бассейна";
"format","CSV";
"provenance","Выпуск релиза";
"valid","2024-06-28";
"publishername","Горбачев Николай Андреевич";
"publisherphone","(495) 788-11-11, доб. 3326";
"publishermbox","gorbachev.na@mossport.ru";
"data-20220728T1637-structure-20220728T1637","http://data.mos.ru/odata/catalog/export?idFile=30070";
"data-20220728T1637-structure-20220728T1637","http://data.mos.ru/odata/catalog/export?idFile=28538";
"structure-20221224T1536","http://data.mos.ru/odata/catalog/export?idFile=33440";
"structure-20220526T0222","http://data.mos.ru/odata/catalog/export?idFile=33631";
"structure-20211227T0508","http://data.mos.ru/odata/catalog/export?idFile=33799";
"structure-20201215T1403","http://data.mos.ru/odata/catalog/export?idFile=43264";
"structure-20171211T0823","http://data.mos.ru/odata/catalog/export?idFile=45695";
"structure-20170908T1336","http://data.mos.ru/odata/catalog/export?idFile=45819";
"structure-20161125T1521","http://data.mos.ru/odata/catalog/export?idFile=49751";
